Site_ID,Site_Name,lat,lon,elevation,Species_ID,Species,Genus,Individual_ID,Phenophase_ID,year,doy,Tmax_Winter,Tmin_Winter,Tmax_Spring,Tmin_Spring,Prcp_Winter,Prcp_Spring,spp,MAT,MAP,Tave_wt,Tmin_wt,Tmax_wt,Tave_sp,Tmin_sp,Tmax_sp,PPT_wt,PPT_sp,LT_Tave_wt,LT_Tmin_wt,LT_Tmax_wt,LT_Tave_sp,LT_Tmin_sp,LT_Tmax_sp,LT_PPT_wt,LT_PPT_sp,LT_MAT,LT_MAP,Tave_wt_anm,Tmin_wt_anm,Tmax_wt_anm,Tave_sp_anm,Tmin_sp_anm,Tmax_sp_anm,PPT_wt_anm,PPT_sp_anm,spp_site
2099,home,58.402012,-134.588974,15,320,balsamifera,Populus,18848,501,2013,139,0.28,-3.63,7.14,-0.45,562,431,Populus balsamifera,6,1785,-1.1,-2.9,0.7,3.9,0.3,7.5,431,336,-2.288429752066116,-4.8487603305785125,0.2702479338842975,4.825619834710744,0.8041322314049587,8.853719008264463,357.3057851239669,273.10743801652893,5.268595041322314,1627.2396694214876,1.1884297520661158,1.9487603305785126,0.42975206611570244,-0.9256198347107438,-0.5041322314049588,-1.3537190082644628,0.20624971087569974,0.23028505719300366,Populus balsamifera_2099
18902,Bettles-FWS,66.914963,-151.519135,192,320,balsamifera,Populus,75634,483,2013,154,-17.99,-26.8,-0.22,-15.68,43,28,Populus balsamifera,-4.5,400,-21.7,-26.2,-17.2,-7.4,-13.9,-0.9,55,35,-22.803305785123968,-27.55289256198347,-18.038842975206613,-5.059504132231405,-11.515702479338843,1.3983471074380165,67.52892561983471,52.289256198347104,-5.252892561983471,381.6942148760331,1.1033057851239683,1.3528925619834702,0.8388429752066138,-2.3404958677685954,-2.384297520661157,-2.2983471074380164,-0.1855342063394933,-0.33064643590959375,Populus balsamifera_18902
18902,Bettles-FWS,66.914963,-151.519135,192,320,balsamifera,Populus,75634,501,2013,148,-17.99,-26.8,-0.22,-15.68,43,28,Populus balsamifera,-4.5,400,-21.7,-26.2,-17.2,-7.4,-13.9,-0.9,55,35,-22.803305785123968,-27.55289256198347,-18.038842975206613,-5.059504132231405,-11.515702479338843,1.3983471074380165,67.52892561983471,52.289256198347104,-5.252892561983471,381.6942148760331,1.1033057851239683,1.3528925619834702,0.8388429752066138,-2.3404958677685954,-2.384297520661157,-2.2983471074380164,-0.1855342063394933,-0.33064643590959375,Populus balsamifera_18902
21953,Poplar Balsam Location,45.543087,-92.027,373,320,balsamifera,Populus,96636,483,2016,122,-2.46,-10.51,13.32,1.82,109,239,Populus balsamifera,7.4,1180,-6.2,-10.3,-2.1,7.2,1.3,13.2,129,266,-9.865289256198347,-15.508264462809917,-4.220661157024793,5.590082644628099,-0.9016528925619834,12.08595041322314,83.89256198347107,199.39669421487602,5.730578512396694,823.8264462809917,3.6652892561983466,5.208264462809916,2.120661157024793,1.609917355371901,2.2016528925619836,1.1140495867768596,0.5376810166486061,0.3340241223525512,Populus balsamifera_21953
21953,Poplar Balsam Location,45.543087,-92.027,373,320,balsamifera,Populus,96636,501,2016,129,-2.46,-10.51,13.32,1.82,109,239,Populus balsamifera,7.4,1180,-6.2,-10.3,-2.1,7.2,1.3,13.2,129,266,-9.865289256198347,-15.508264462809917,-4.220661157024793,5.590082644628099,-0.9016528925619834,12.08595041322314,83.89256198347107,199.39669421487602,5.730578512396694,823.8264462809917,3.6652892561983466,5.208264462809916,2.120661157024793,1.609917355371901,2.2016528925619836,1.1140495867768596,0.5376810166486061,0.3340241223525512,Populus balsamifera_21953
23463,pop clock tree,47.49033,-95.123848,434,320,balsamifera,Populus,108187,483,2016,130,-3.91,-13.15,12.17,-0.33,58,123,Populus balsamifera,5.7,777,-8.4,-13,-3.8,5.7,-0.5,11.9,57,157,-12.9,-19.034710743801654,-6.765289256198347,3.6388429752066114,-2.912396694214876,10.187603305785125,52.603305785123965,151.17355371900825,3.7099173553719007,633.4793388429752,4.5,6.034710743801654,2.9652892561983473,2.061157024793389,2.412396694214876,1.7123966942148758,0.08358208955223885,0.03854143888038494,Populus balsamifera_23463
23463,pop clock tree,47.49033,-95.123848,434,320,balsamifera,Populus,108187,501,2016,113,-3.91,-13.15,12.17,-0.33,58,123,Populus balsamifera,5.7,777,-8.4,-13,-3.8,5.7,-0.5,11.9,57,157,-12.9,-19.034710743801654,-6.765289256198347,3.6388429752066114,-2.912396694214876,10.187603305785125,52.603305785123965,151.17355371900825,3.7099173553719007,633.4793388429752,4.5,6.034710743801654,2.9652892561983473,2.061157024793389,2.412396694214876,1.7123966942148758,0.08358208955223885,0.03854143888038494,Populus balsamifera_23463
21946,Vol,39.659588,-78.924652,581,320,balsamifera,Populus,120544,483,2016,133,4.92,-5.14,15.88,3.21,257,258,Populus balsamifera,10.2,1050,-0.3,-4.9,4.4,9.5,3.4,15.6,269,262,-1.7413223140495868,-6.234710743801653,2.7520661157024793,8.880165289256198,2.6991735537190085,15.066115702479339,244.7603305785124,306.4793388429752,9.476859504132232,1089.5289256198348,1.4413223140495868,1.3347107438016526,1.647933884297521,0.6198347107438025,0.7008264462809914,0.533884297520661,0.09903430578065911,-0.14512997519145723,Populus balsamifera_21946
21946,Vol,39.659588,-78.924652,581,320,balsamifera,Populus,120544,501,2016,110,4.92,-5.14,15.88,3.21,257,258,Populus balsamifera,10.2,1050,-0.3,-4.9,4.4,9.5,3.4,15.6,269,262,-1.7413223140495868,-6.234710743801653,2.7520661157024793,8.880165289256198,2.6991735537190085,15.066115702479339,244.7603305785124,306.4793388429752,9.476859504132232,1089.5289256198348,1.4413223140495868,1.3347107438016526,1.647933884297521,0.6198347107438025,0.7008264462809914,0.533884297520661,0.09903430578065911,-0.14512997519145723,Populus balsamifera_21946
1904,Home,47.143215,-93.431,394,320,balsamifera,Populus,134721,483,2017,141,-3.93,-14.17,10.54,-1.94,103,168,Populus balsamifera,4.6,826,-9.1,-14.3,-3.8,4.3,-2.1,10.7,111,182,-11.925619834710744,-18.00413223140496,-5.8429752066115705,4.081818181818182,-2.811570247933884,10.975206611570249,60.50413223140496,161.04132231404958,4.124793388429752,682.6446280991736,2.8256198347107446,3.7041322314049587,2.0429752066115707,0.2181818181818178,0.7115702479338841,-0.2752066115702494,0.8345854391476574,0.13014471928564103,Populus balsamifera_1904
1904,Home,47.143215,-93.431,394,320,balsamifera,Populus,134721,501,2017,120,-3.93,-14.17,10.54,-1.94,103,168,Populus balsamifera,4.6,826,-9.1,-14.3,-3.8,4.3,-2.1,10.7,111,182,-11.925619834710744,-18.00413223140496,-5.8429752066115705,4.081818181818182,-2.811570247933884,10.975206611570249,60.50413223140496,161.04132231404958,4.124793388429752,682.6446280991736,2.8256198347107446,3.7041322314049587,2.0429752066115707,0.2181818181818178,0.7115702479338841,-0.2752066115702494,0.8345854391476574,0.13014471928564103,Populus balsamifera_1904
1904,Home,47.143215,-93.431,394,320,balsamifera,Populus,134721,483,2018,139,-7.17,-19.19,11.14,-3.04,70,119,Populus balsamifera,3.8,804,-13.2,-19.3,-7,3.7,-3.6,11,70,125,-11.925619834710744,-18.00413223140496,-5.8429752066115705,4.081818181818182,-2.811570247933884,10.975206611570249,60.50413223140496,161.04132231404958,4.124793388429752,682.6446280991736,-1.274380165289255,-1.2958677685950413,-1.1570247933884295,-0.38181818181818183,-0.7884297520661159,0.024793388429751317,0.15694577243545962,-0.22380170378733447,Populus balsamifera_1904
1904,Home,47.143215,-93.431,394,320,balsamifera,Populus,134721,501,2018,133,-7.17,-19.19,11.14,-3.04,70,119,Populus balsamifera,3.8,804,-13.2,-19.3,-7,3.7,-3.6,11,70,125,-11.925619834710744,-18.00413223140496,-5.8429752066115705,4.081818181818182,-2.811570247933884,10.975206611570249,60.50413223140496,161.04132231404958,4.124793388429752,682.6446280991736,-1.274380165289255,-1.2958677685950413,-1.1570247933884295,-0.38181818181818183,-0.7884297520661159,0.024793388429751317,0.15694577243545962,-0.22380170378733447,Populus balsamifera_1904
1904,Home,47.143215,-93.431,394,320,balsamifera,Populus,134721,483,2019,140,-7.06,-18.24,8.88,-3.71,98,167,Populus balsamifera,3.1,808,-12.8,-18.6,-6.9,2.6,-4,9.1,89,157,-11.925619834710744,-18.00413223140496,-5.8429752066115705,4.081818181818182,-2.811570247933884,10.975206611570249,60.50413223140496,161.04132231404958,4.124793388429752,682.6446280991736,-0.8743801652892564,-0.595867768595042,-1.0570247933884298,-1.481818181818182,-1.1884297520661158,-1.875206611570249,0.47097391066794153,-0.025094939956892087,Populus balsamifera_1904
1904,Home,47.143215,-93.431,394,320,balsamifera,Populus,134721,501,2019,126,-7.06,-18.24,8.88,-3.71,98,167,Populus balsamifera,3.1,808,-12.8,-18.6,-6.9,2.6,-4,9.1,89,157,-11.925619834710744,-18.00413223140496,-5.8429752066115705,4.081818181818182,-2.811570247933884,10.975206611570249,60.50413223140496,161.04132231404958,4.124793388429752,682.6446280991736,-0.8743801652892564,-0.595867768595042,-1.0570247933884298,-1.481818181818182,-1.1884297520661158,-1.875206611570249,0.47097391066794153,-0.025094939956892087,Populus balsamifera_1904
1904,Home,47.143215,-93.431,394,320,balsamifera,Populus,134721,483,2020,142,-4.5,-16.14,10.93,-2.37,93.22,76.68,Populus balsamifera,4.8,626,-10.3,-16.2,-4.3,4.1,-2.5,10.7,95,71,-11.925619834710744,-18.00413223140496,-5.8429752066115705,4.081818181818182,-2.811570247933884,10.975206611570249,60.50413223140496,161.04132231404958,4.124793388429752,682.6446280991736,1.6256198347107436,1.8041322314049602,1.5429752066115707,0.018181818181817633,0.3115702479338842,-0.2752066115702494,0.5701406911624095,-0.559119367751206,Populus balsamifera_1904
1904,Home,47.143215,-93.431,394,320,balsamifera,Populus,134721,501,2020,127,-4.5,-16.14,10.93,-2.37,93.22,76.68,Populus balsamifera,4.8,626,-10.3,-16.2,-4.3,4.1,-2.5,10.7,95,71,-11.925619834710744,-18.00413223140496,-5.8429752066115705,4.081818181818182,-2.811570247933884,10.975206611570249,60.50413223140496,161.04132231404958,4.124793388429752,682.6446280991736,1.6256198347107436,1.8041322314049602,1.5429752066115707,0.018181818181817633,0.3115702479338842,-0.2752066115702494,0.5701406911624095,-0.559119367751206,Populus balsamifera_1904
1904,Home,47.143215,-93.431,394,320,balsamifera,Populus,134721,483,2021,136,NA,NA,NA,NA,NA,NA,Populus balsamifera,5.8,614,-10.5,-15.9,-5.2,5.9,-0.7,12.4,40,168,-11.925619834710744,-18.00413223140496,-5.8429752066115705,4.081818181818182,-2.811570247933884,10.975206611570249,60.50413223140496,161.04132231404958,4.124793388429752,682.6446280991736,1.4256198347107443,2.104132231404959,0.6429752066115704,1.8181818181818183,2.1115702479338845,1.4247933884297517,-0.33888813003688023,0.04321051010982248,Populus balsamifera_1904
